,AVH,BDH,BOR,BTA,BTH,CEE,JAC,LUZ,MDI,MLC,MLG,MLO,OLI,ORH,PCH,PPH,PTR,SAI,SIN,SNE,SOG,SPH,SPL,VRC,VRG
AVH,15,4,0,0,2,0,2,0,0,7,3,0,0,2,0,1,0,2,0,0,2,0,0,0,0
BDH,55,170,0,3,24,0,3,0,0,15,1,0,0,58,21,1,0,9,1,1,3,0,0,2,0
BOR,19,0,926,109,1,9,53,7,44,10,0,0,130,3,4,2,0,4,137,13,3,19,2,158,35
BTA,2,2,24,32,1,1,3,5,5,2,3,1,4,0,2,2,0,8,9,0,2,4,1,11,10
BTH,20,41,2,1,60,0,2,0,0,8,2,0,0,37,3,0,0,4,11,0,0,0,0,3,1
CEE,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,1,18,0,0
JAC,67,5,94,56,22,14,398,43,10,91,3,7,87,16,7,13,7,102,108,19,18,67,5,68,14
LUZ,9,1,5,8,1,0,33,109,8,10,44,2,20,3,1,14,4,121,20,0,14,4,2,7,8
MDI,0,0,4,2,0,1,1,0,13,1,0,1,2,1,0,1,0,1,7,1,0,1,0,3,0
MLC,7,4,1,0,2,0,4,2,1,15,1,0,0,1,1,2,0,4,0,0,3,0,0,1,1
MLG,2,1,0,2,0,0,1,11,1,6,46,0,0,0,0,15,1,20,0,0,0,1,0,0,1
MLO,0,0,0,0,0,0,0,0,3,2,0,56,0,0,1,0,0,0,0,0,0,0,0,1,0
OLI,3,0,90,11,0,9,24,4,20,5,0,0,117,0,0,5,0,5,50,0,0,13,6,7,10
ORH,20,17,0,1,10,0,4,0,0,11,6,1,0,94,2,1,0,0,3,1,0,0,0,3,0
PCH,1,1,3,0,0,0,1,0,2,1,0,1,0,0,36,0,0,0,0,0,1,0,0,3,2
PPH,26,1,14,46,1,17,149,116,21,35,175,0,106,10,3,335,10,112,224,1,2,134,18,8,30
PTR,26,6,8,17,6,7,82,36,6,43,76,0,21,12,3,81,12,88,38,2,10,33,2,9,10
SAI,1,0,0,0,0,0,1,9,0,2,3,0,0,0,1,3,0,30,4,0,1,1,0,1,0
SIN,0,0,0,0,0,4,0,1,0,0,0,0,2,0,0,1,0,0,36,0,0,3,6,1,0
SNE,60,6,317,86,3,48,233,18,53,47,6,9,140,10,10,14,6,33,229,20,12,164,40,149,23
SOG,1,0,0,0,1,0,0,2,3,0,2,3,0,0,0,0,0,2,0,0,42,0,0,7,1
SPH,7,0,31,32,0,61,49,15,30,5,3,0,83,2,0,43,11,18,159,2,0,332,127,6,17
SPL,0,0,6,13,0,145,2,2,5,0,0,1,28,0,0,5,0,1,176,0,0,104,168,5,2
VRC,84,0,1750,256,3,57,219,68,593,26,2,5,381,17,12,41,12,119,906,51,173,88,22,6257,70
VRG,2,0,22,10,1,5,12,5,6,2,1,0,8,2,1,4,1,3,11,0,0,9,2,3,62
